periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,objetivo_monto_miles_soles,objetivo_participacion_pct,objetivo_hoja10,categorias_objetivo,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,80317.44346483279,66.94264290006932,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,81919.28549206772,101.99438871325168,135.22038231449,4.263256414560601e-13
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,78715.60143759788,65.60754638571798,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,83521.12751930262,106.1049220153826,135.22038231449,4.263256414560601e-13
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,78715.60143759788,65.60754638571798,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,83521.12751930262,106.1049220153826,135.22038231449,4.263256414560601e-13
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,78715.60143759788,65.60754638571798,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,83521.12751930262,106.1049220153826,135.22038231449,4.263256414560601e-13
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,78715.60143759788,65.60754638571798,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,83521.12751930262,106.1049220153826,135.22038231449,4.263256414560601e-13
2015-04,Habitat,2015-04-30,162236.7289569005,135.22038231448957,49,5,44,hoja10,10.204081632653061,2015-04-30,119979.49286933459,100.0,78715.60143759788,65.60754638571798,fondos_mutuos_exterior,fondos_mutuos_exterior,83521.12751930262,106.1049220153826,135.22038231449,4.263256414560601e-13
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5529499.747713995,63.85943021207761,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5436565.86713698,98.31930762605722,126.64557985053753,2.842170943040401e-14
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5341921.288138641,61.69311244463517,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,5624144.3267123345,105.28317478582751,126.64557985053753,2.842170943040401e-14
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5309231.536150041,61.31558300598583,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,5656834.078700935,106.54713474415462,126.64557985053753,2.842170943040401e-14
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5309231.536150041,61.31558300598583,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,5656834.078700935,106.54713474415462,126.64557985053753,2.842170943040401e-14
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5309231.536150041,61.31558300598583,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,5656834.078700935,106.54713474415462,126.64557985053753,2.842170943040401e-14
2015-04,Integra,2015-04-30,10966065.614850976,126.64557985053756,98,19,79,hoja10,19.387755102040817,2015-04-30,8658861.705077054,99.99999999999999,5309231.536150041,61.31558300598583,fondos_mutuos_exterior,fondos_mutuos_exterior,5656834.078700935,106.54713474415462,126.64557985053753,2.842170943040401e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,5016842.882462712,60.90103917557942,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5065992.324634895,100.97968868716207,122.39871894232613,5.684341886080802e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,4917649.190273353,59.69689563839353,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,5165186.016824254,105.03364142038649,122.39871894232613,5.684341886080802e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,4893319.825473353,59.40155380020656,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,5189515.3816242535,106.05305940987104,122.39871894232613,5.684341886080802e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,4893319.825473353,59.40155380020656,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,5189515.3816242535,106.05305940987104,122.39871894232613,5.684341886080802e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,4893319.825473353,59.40155380020656,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,5189515.3816242535,106.05305940987104,122.39871894232613,5.684341886080802e-14
2015-04,Prima,2015-04-30,10082835.207097607,122.39871894232618,69,18,51,hoja10,26.08695652173913,2015-04-30,8237696.6803456545,100.00000000000001,4893319.825473353,59.40155380020656,fondos_mutuos_exterior,fondos_mutuos_exterior,5189515.3816242535,106.05305940987104,122.39871894232613,5.684341886080802e-14
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3534259.220968002,61.88545267417636,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,3528875.573071062,99.84767252314148,123.67663679975172,1.1368683772161603e-13
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3460107.0977825117,60.58703696011098,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,3603027.6962565524,104.1305252824583,123.67663679975172,1.1368683772161603e-13
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3197212.323656752,55.98370678955491,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,3865922.4703823123,120.91541252289231,123.67663679975172,1.1368683772161603e-13
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3197212.323656752,55.98370678955491,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,3865922.4703823123,120.91541252289231,123.67663679975172,1.1368683772161603e-13
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3197212.323656752,55.98370678955491,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,3865922.4703823123,120.91541252289231,123.67663679975172,1.1368683772161603e-13
2015-04,Profuturo,2015-04-30,7063134.794039064,123.67663679975183,74,20,54,hoja10,27.027027027027028,2015-04-30,5710969.328406935,99.99999999999999,3197212.323656752,55.98370678955491,fondos_mutuos_exterior,fondos_mutuos_exterior,3865922.4703823123,120.91541252289231,123.67663679975172,1.1368683772161603e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85742.49383509421,66.13301433381233,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,85343.78135285861,99.53498847024157,131.95850252599564,3.126388037344441e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85224.46604841862,65.73346053604877,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,85861.8091395342,100.74784052123424,131.95850252599564,3.126388037344441e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85224.46604841862,65.73346053604877,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,85861.8091395342,100.74784052123424,131.95850252599564,3.126388037344441e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85224.46604841862,65.73346053604877,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,85861.8091395342,100.74784052123424,131.95850252599564,3.126388037344441e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85224.46604841862,65.73346053604877,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,85861.8091395342,100.74784052123424,131.95850252599564,3.126388037344441e-13
2015-05,Habitat,2015-05-29,171086.27518795282,131.95850252599595,48,5,43,hoja10,10.416666666666668,2015-05-31,129651.57372428432,99.99999999999999,85224.46604841862,65.73346053604877,fondos_mutuos_exterior,fondos_mutuos_exterior,85861.8091395342,100.74784052123424,131.95850252599564,3.126388037344441e-13
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5604522.000595845,64.25565575697374,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,5500039.288512373,98.13574267221426,127.31342074298135,8.526512829121202e-14
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5429798.256917678,62.25245392724402,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,5674763.032190541,104.51148944550145,127.31342074298135,8.526512829121202e-14
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5414669.47842694,62.07900299197764,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,5689891.810681279,105.08290179762358,127.31342074298135,8.526512829121202e-14
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5414669.47842694,62.07900299197764,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,5689891.810681279,105.08290179762358,127.31342074298135,8.526512829121202e-14
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5414669.47842694,62.07900299197764,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,5689891.810681279,105.08290179762358,127.31342074298135,8.526512829121202e-14
2015-05,Integra,2015-05-29,11104561.289108219,127.31342074298144,98,19,79,hoja10,19.387755102040817,2015-05-31,8722223.646418205,99.99999999999997,5414669.47842694,62.07900299197764,fondos_mutuos_exterior,fondos_mutuos_exterior,5689891.810681279,105.08290179762358,127.31342074298135,8.526512829121202e-14
2015-05,Prima,2015-05-29,9719680.084260562,117.31214817154394,77,20,57,hoja10,25.97402597402597,2015-05-31,8285314.211489513,100.0,4833662.149450719,58.34011874586149,total_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior | depositos_exterior | renta_fija_financiera_exterior | renta_fija_no_financiera_exterior | renta_fija_organismos_internacionales | renta_fija_soberana_exterior | renta_fija_exterior_otros,4886017.934809843,101.08314945770616,117.31214817154392,1.4210854715202004e-14
2015-05,Prima,2015-05-29,9719680.084260562,117.31214817154394,77,20,57,hoja10,25.97402597402597,2015-05-31,8285314.211489513,100.0,4734497.066003443,57.143240982194285,rv_y_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | acciones_exterior_directas | fondos_inversion_exterior,4985183.01825712,105.29488029581333,117.31214817154392,1.4210854715202004e-14
2015-05,Prima,2015-05-29,9719680.084260562,117.31214817154394,77,20,57,hoja10,25.97402597402597,2015-05-31,8285314.211489513,100.0,4671849.38547858,56.38711177664181,fondos_exterior_amplio,fondos_mutuos_exterior | alternativos_exterior | etf_exterior_via_mercado_local | fondos_inversion_exterior,5047830.698781982,108.04780467606805,117.31214817154392,1.4210854715202004e-14
2015-05,Prima,2015-05-29,9719680.084260562,117.31214817154394,77,20,57,hoja10,25.97402597402597,2015-05-31,8285314.211489513,100.0,4671849.38547858,56.38711177664181,administradoras_fondos_exterior,fondos_mutuos_exterior | alternativos_exterior | fondos_inversion_exterior,5047830.698781982,108.04780467606805,117.31214817154392,1.4210854715202004e-14
2015-05,Prima,2015-05-29,9719680.084260562,117.31214817154394,77,20,57,hoja10,25.97402597402597,2015-05-31,8285314.211489513,100.0,4671849.38547858,56.38711177664181,fondos_mutuos_mas_etf,fondos_mutuos_exterior | etf_exterior_via_mercado_local,5047830.698781982,108.04780467606805,117.31214817154392,1.4210854715202004e-14
